#Date,3-Aug-2025,,
#Station ,25,,
"#antenna setup,""co-dropping/raising RX [hole B], dropping/raising Tx [hole A], co-depth and staggered depth with Rx 1m higher than TX"",,"
"#measurement,""pulsing, absolute timing, depth measurement from top of hole (plywood cover removed) to top of Vpol frame"",,"
"#Scope ch1,""20dB coupled input pulse to TX, scope averaging 1000 waveforms during measurement"",,"
#Scope ch3,RX ,,
#VNA setup,,,
#folder name,dropRXinNWhole_dropTXinShole_ST25_pulser,,
#hole A offset from top of hole [m],0.81,,
#hole A offset from top of hole [m],0,,
#hole A,south hole,,
#hole B,NW hole,,
#,,,
#hole A [m],hole B [m],filename [.csv],alternate_filename
7.03,7.01,SRF_T14,
8.03,8.01,SRF_T16,
9.02,9.02,SRF_T18,
10.01,10.00,SRF_T20,
11.00,11.02,SRF_T22,
12.02,12.01,SRF_T24,
13.01,13.02,SRF_T26,
14.02,14.01,SRF_T28,
15.04,15.01,SRF_T30,
16.03,16.02,SRF_T32,
17.03,17.02,SRF_T34,
18.02,18.01,SRF_T36,
19.03,19.03,SRF_T38,
20.03,20.00,SRF_T40,
21.03,21.02,SRF_T42,
22.03,22.01,SRF_T44,
23.03,23.03,SRF_T46,
24.01,24.01,SRF_T49,
25.01,25.00,SRF_T51,
26.05,26.00,SRF_T53,
27.04,27.00,SRF_T55,
28.02,28.02,SRF_T57,
29.03,29.01,SRF_T59,
30.02,30.01,SRF_T62,
31.01,31.00,SRF_T64,
32.01,32.01,SRF_T66,
33.04,33.01,SRF_T68,
34.02,34.03,SRF_T70,
35.01,35.03,SRF_T72,
36.02,36.00,SRF_T74,
37.01,37.00,SRF_T76,SRF_T77
