#Date,3-Aug-2025,,
#Station ,25,,
"#antenna setup,""co-dropping/raising RX [hole B], dropping/raising Tx [hole A], co-depth and staggered depth with Rx 1m higher than TX"",,"
"#measurement,""pulsing, absolute timing, depth measurement from top of hole (plywood cover removed) to top of Vpol frame"",,"
"#Scope ch1,""20dB coupled input pulse to TX, scope averaging 1000 waveforms during measurement"",,"
#Scope ch3,RX ,,
#VNA setup,,,
#folder name,dropRXinNWhole_dropTXinShole_ST25_pulser,,
#hole A offset from top of hole [m],0.81,,
#hole A offset from top of hole [m],0,,
#hole A,south hole,,
#hole B,NW hole,,
#,,,
#hole A [m],hole B [m],filename [.csv],alternate_filename
38.03,38.01,SRF_T83,
37.05,37.02,SRF_T84,
36.04,36.00,SRF_T85,
35.03,35.02,SRF_T86,
34.03,34.01,SRF_T87,
33.03,33.00,SRF_T88,
32.05,32.00,SRF_T89,
31.03,31.00,SRF_T90,
30.00,30.01,SRF_T91,
29.01,29.02,SRF_T92,
28.01,28.01,SRF_T93,
27.03,27.01,SRF_T94,
26.02,26.00,SRF_T95,
24.99,25.00,SRF_T96,
24.01,24.00,SRF_T97,
23.02,23.01,SRF_T99,SRF_T98
22.00,22.02,SRF_T100,
21.00,21.01,SRF_T101,
20.02,20.00,SRF_T102,
19.00,19.01,SRF_T103,
18.01,18.01,SRF_T104,
17.00,17.00,SRF_T105,
16.00,16.00,SRF_T106,
15.01,15.01,SRF_T107,
14.01,14.01,SRF_T108,
12.99,13.00,SRF_T109,
11.99,12.00,SRF_T110,
11.00,11.02,SRF_T111,
10.00,10.01,SRF_T112,
9.00,9.00,SRF_T113,
8.02,8.01,SRF_T114,
6.99,7.00,SRF_T115,
6.01,6.00,SRF_T116,
5.00,5.01,SRF_T118,
4.00,4.01,SRF_T120,
3.03,3.02,SRF_T122,
1.99,2.01,SRF_T124,
0.99,1.01,SRF_T126,
0.00,0.00,SRF_T127,
