#Date,4-Aug-2024,,
#Station ,35,,
#antenna setup,"co-dropping RX [hole B], dropping Tx [hole A]",,
#measurement,"pulsing, absolute timing, depth measurement from top of hole (plywood cover removed) to top of Vpol frame",,
#Scope ch1,"20dB coupled input pulse to TX, scope averaging 1000 waveforms during measurement",,
#Scope ch3,RX ,,
#VNA setup,,,
#folder name,dropRXinNEhole_dropTXinShole_ST35_pulser,,
#hole A offset from top of hole [m],0.90,,
#hole A offset from top of hole [m],36.00,,
#hole A,south hole,,
#hole B,NE hole,,
#,,,
#hole A [m],hole B [m],filename [.csv],alternate_filename
1.01,1.01,SRF_T01,
1.50,1.51,SRF_T02,
1.99,2.02,SRF_T03,
2.51,2.50,SRF_T04,
3.00,3.01,SRF_T05,
3.51,3.51,SRF_T06,
4.02,4.00,SRF_T07,
4.51,4.51,SRF_T08,
5.02,5.02,SRF_T09,
5.51,5.52,SRF_T10,
6.00,6.01,SRF_T11,
6.50,6.51,SRF_T12,
7.00,7.01,SRF_T13,
7.52,7.52,SRF_T14,
8.01,8.00,SRF_T15,
8.52,8.51,SRF_T16,
8.99,9.01,SRF_T17,
9.50,9.51,SRF_T18,
10.01,10.00,SRF_T19,
10.49,10.50,SRF_T20,
11.01,11.01,SRF_T21,
11.50,11.51,SRF_T22,
12.00,12.01,SRF_T23,
12.49,12.51,SRF_T25,
13.01,13.01,SRF_T26,
13.50,13.50,SRF_T27,
14.00,14.00,SRF_T29,
14.50,14.52,SRF_T30,
15.00,15.00,SRF_T31,
15.50,15.51,SRF_T32,
16.00,16.01,SRF_T33,
16.50,16.51,SRF_T34,
17.00,17.01,SRF_T35,
17.49,17.51,SRF_T36,
17.99,18.01,SRF_T39,
18.52,18.51,SRF_T40,
19.02,19.02,SRF_T41,
19.51,19.52,SRF_T42,
20.00,20.00,SRF_T43,
20.51,20.51,SRF_T44,
20.99,21.01,SRF_T45,
21.50,21.50,SRF_T46,
22.01,22.01,SRF_T47,
22.51,22.51,SRF_T48,
23.01,23.02,SRF_T49,
23.51,23.51,SRF_T50,
24.00,24.00,SRF_T51,
24.50,24.51,SRF_T52,
25.02,25.01,SRF_T53,
25.51,25.50,SRF_T54,
26.01,26.01,SRF_T56,
26.52,26.51,SRF_T57,
26.99,27.00,SRF_T58,
27.50,27.50,SRF_T59,
27.99,28.00,SRF_T60,
28.51,28.50,SRF_T62,
28.98,29.01,SRF_T64,
29.49,29.51,SRF_T66,
30.02,30.02,SRF_T67,
30.54,30.51,SRF_T68,
31.00,31.01,SRF_T69,
31.51,31.51,SRF_T70,
32.01,32.01,SRF_T71,
32.50,32.52,SRF_T72,
33.01,33.00,SRF_T73,
33.50,33.50,SRF_T74,
34.01,34.02,SRF_T75,
34.50,34.50,SRF_T76,
35.01,35.01,SRF_T77,
35.51,35.51,SRF_T78,
35.99,36.01,SRF_T80,
36.51,36.52,SRF_T82,
37.01,37.00,SRF_T83,
37.52,37.51,SRF_T84,
38.01,38.02,SRF_T85,
38.52,38.50,SRF_T86,
39.00,39.02,SRF_T87,
