#Date,4-Aug-2024,,
#Station ,35,,
"#antenna setup,""co-dropping RX [hole B], droppingTx [hole A] w/ HPOL-HPOL pulsing"",,"
"#measurement,""pulsing, absolute timing, depth measurement from top of hole (plywood cover removed) to top of Hpol frame"",,"
"#Scope ch1,""20dB coupled input pulse to TX, scope averaging 1000 waveforms during measurement"",,"
#Scope ch3,RX ,,
#VNA setup,,,
#folder name,dropRXinNEhole_dropTXinShole_ST35_pulser_HPOL,,
"#hole A offset from top of hole [m],0.70,""Note, offset changed after RTK surveying, performed after 080425A drop, found hole A was ~20cm shorter than hole B"","
#hole A offset from top of hole [m],36.00,,
#hole A,south hole,,
#hole B,NE hole,,
#,,,
#hole A [m],hole B [m],filename [.csv],alternate_filename
3.01,3.02,SRF_T174,
4.02,4.00,SRF_T176,
5.01,5.01,SRF_T177,
6.03,6.01,SRF_T178,
7.00,7.01,SRF_T179,
8.05,8.01,SRF_T180,
9.03,9.01,SRF_T181,
10.00,10.00,SRF_T182,
11.03,11.01,SRF_T183,
12.02,12.00,SRF_T184,
13.02,13.02,SRF_T185,
14.02,14.00,SRF_T186,
15.01,15.00,SRF_T187,
16.02,16.01,SRF_T188,
17.00,17.01,SRF_T189,
18.03,18.01,SRF_T191,
19.03,19.02,SRF_T192,
20.02,20.00,SRF_T193,
21.00,21.01,SRF_T194,
22.02,22.01,SRF_T195,
23.01,23.01,SRF_T196,
24.01,24.01,SRF_T197,
25.00,25.01,SRF_T198,
26.03,26.01,SRF_T199,
27.01,27.00,SRF_T200,
28.00,28.01,SRF_T201,
29.02,29.01,SRF_T202,
30.05,30.01,SRF_T203,
31.01,31.00,SRF_T204,
32.02,32.00,SRF_T205,
33.00,33.01,SRF_T206,
34.02,34.00,SRF_T207,
35.01,35.00,SRF_T208,
36.03,36.00,SRF_T209,
37.01,37.00,SRF_T210,
38.01,38.01,SRF_T211,
39.02,39.02,SRF_T213,
